Plant,DateTime,LightIntensity,Temperature,WaterLevel,Humidity,WindSpeed,HeightGrowth
Nane,2024-03-26 06:00:00,4878.64,16.65,3.08,71.39,3.52,1.16
Domates,2024-03-26 12:00:00,7587.79,25.43,7.74,59.91,4.9,2.68
Biber,2024-03-26 12:00:00,5770.75,29.92,8.93,44.34,2.57,2.2
Nane,2024-03-26 12:00:00,5424.62,21.97,5.11,79.97,1.86,0.93
Domates,2024-03-26 18:00:00,7427.56,23.39,7.98,50.6,2.07,1.19
Biber,2024-03-26 18:00:00,6897.64,29.12,7.85,51.06,6.73,2.16
Nane,2024-03-26 18:00:00,3706.86,22.97,4.41,62.98,0.43,0.72
Domates,2024-03-27 00:00:00,7367.08,21.88,5.17,53.87,0.68,1.91
Biber,2024-03-27 00:00:00,4845.02,20.42,8.64,55.78,5.15,0.96
Nane,2024-03-27 00:00:00,4240.56,20.44,5.85,74.87,4.22,1.06
Domates,2024-03-27 06:00:00,6410.11,20.64,7.87,60.59,5.05,2.59
Biber,2024-03-27 06:00:00,6195.5,29.55,6.63,45.33,8.03,2.37
Nane,2024-03-27 06:00:00,5883.11,24.18,4.64,65.09,2.7,1.25
Domates,2024-03-27 12:00:00,7501.24,27.83,5.17,68.23,1.58,2.12
Biber,2024-03-27 12:00:00,6520.68,24.29,7.48,41.58,5.15,1.34
Nane,2024-03-27 12:00:00,4312.48,22.99,5.23,79.31,7.55,1.1
Domates,2024-03-27 18:00:00,6188.55,25.39,6.8,62.38,11.99,1.33
Biber,2024-03-27 18:00:00,6732.84,28.76,7.3,55.45,1.62,1.38
Nane,2024-03-27 18:00:00,3202.34,19.06,5.32,62.09,3.49,1.23
Domates,2024-03-28 00:00:00,5119.45,18.37,7.74,65.32,1.36,2.49
Biber,2024-03-28 00:00:00,6333.37,24.97,6.22,57.62,3.85,1.98
Nane,2024-03-28 00:00:00,4543.8,17.69,5.4,79.66,4.88,0.99
Domates,2024-03-28 06:00:00,6411.61,22.16,6.34,67.74,2.77,2.18
Biber,2024-03-28 06:00:00,5757.41,25.55,8.0,53.89,1.04,1.3
Nane,2024-03-28 06:00:00,4124.83,16.74,4.41,67.66,3.19,1.33
Domates,2024-03-28 12:00:00,7044.17,27.38,6.94,51.86,3.26,1.18
Biber,2024-03-28 12:00:00,5933.1,24.95,7.46,53.45,4.98,1.95
Nane,2024-03-28 12:00:00,4005.38,24.34,5.23,75.28,1.76,1.34
Domates,2024-03-28 18:00:00,5927.14,24.84,7.72,57.84,2.84,2.76
Biber,2024-03-28 18:00:00,5489.4,25.55,8.57,53.19,6.99,1.24
Nane,2024-03-28 18:00:00,4066.29,23.72,4.65,76.89,7.44,0.54
Domates,2024-03-29 00:00:00,6518.78,20.23,5.35,57.95,12.44,1.49
Biber,2024-03-29 00:00:00,5932.2,22.49,7.15,52.49,3.39,1.07
Nane,2024-03-29 00:00:00,5324.47,18.2,4.93,73.29,3.97,1.25
Domates,2024-03-29 06:00:00,5361.47,20.54,6.44,65.0,3.5,1.27
Biber,2024-03-29 06:00:00,6654.83,22.35,8.79,59.0,6.24,1.37
Nane,2024-03-29 06:00:00,5102.83,23.07,4.44,62.0,7.61,1.27
Domates,2024-03-29 12:00:00,5321.88,24.05,6.92,61.08,7.15,2.09
Biber,2024-03-29 12:00:00,6700.58,29.06,6.14,59.62,5.0,1.43
Nane,2024-03-29 12:00:00,3810.13,17.66,3.79,77.53,3.31,0.82
Domates,2024-03-29 18:00:00,6915.1,18.06,7.84,66.11,6.33,1.79
Biber,2024-03-29 18:00:00,6002.11,21.69,8.98,59.66,6.74,2.49
Nane,2024-03-29 18:00:00,3117.74,24.33,4.41,74.1,1.67,0.51
Domates,2024-03-30 00:00:00,6557.88,26.91,6.74,65.96,8.37,1.37
Biber,2024-03-30 00:00:00,6496.31,26.86,8.47,53.72,2.54,2.15
Nane,2024-03-30 00:00:00,3784.3,16.59,5.25,61.21,5.37,0.51
Domates,2024-03-30 06:00:00,6864.35,19.09,7.38,61.22,4.21,1.45
Biber,2024-03-30 06:00:00,6907.41,23.36,7.26,55.54,3.7,1.84
Nane,2024-03-30 06:00:00,3998.38,21.01,4.08,66.57,2.29,1.38
Domates,2024-03-30 12:00:00,6948.16,23.69,6.79,60.94,1.7,1.97
Biber,2024-03-30 12:00:00,6805.05,23.76,7.28,58.78,1.96,1.55
Nane,2024-03-30 12:00:00,4539.49,23.29,5.27,62.78,1.22,0.8
Domates,2024-03-30 18:00:00,5168.39,20.2,5.36,68.28,8.53,1.49
Biber,2024-03-30 18:00:00,4199.01,27.34,8.35,45.18,8.33,0.9
Nane,2024-03-30 18:00:00,5487.33,19.21,5.19,77.59,7.73,0.56
Domates,2024-03-31 00:00:00,5746.45,20.87,7.42,65.34,6.4,2.54
Biber,2024-03-31 00:00:00,6439.37,20.73,6.49,59.35,0.87,1.84
Nane,2024-03-31 00:00:00,4023.39,16.19,3.17,66.11,1.23,0.82
Domates,2024-03-31 06:00:00,7741.86,22.38,7.84,57.33,8.82,2.35
Biber,2024-03-31 06:00:00,5523.76,29.79,6.98,43.09,3.62,2.21
Nane,2024-03-31 06:00:00,3367.96,18.61,5.3,71.71,3.99,1.39
Domates,2024-03-31 12:00:00,5060.89,26.4,5.42,61.54,14.62,1.97
Biber,2024-03-31 12:00:00,4945.47,24.06,8.09,51.89,1.63,2.12
Nane,2024-03-31 12:00:00,5714.36,15.38,5.42,67.09,1.03,0.76
Domates,2024-03-31 18:00:00,5215.26,20.21,6.31,63.29,7.27,2.63
Biber,2024-03-31 18:00:00,5344.96,24.95,6.35,49.47,7.16,2.25
Nane,2024-03-31 18:00:00,3847.02,15.92,5.79,69.34,6.41,1.23
Domates,2024-04-01 00:00:00,6868.82,23.65,5.99,68.62,14.26,2.39
Biber,2024-04-01 00:00:00,4960.99,27.35,7.77,51.54,3.47,1.45
Nane,2024-04-01 00:00:00,4736.02,18.12,5.09,71.4,1.24,0.94
Domates,2024-04-01 06:00:00,5176.1,23.3,6.41,58.64,14.98,1.06
Biber,2024-04-01 06:00:00,4574.38,21.1,6.09,53.55,2.32,2.33
Nane,2024-04-01 06:00:00,3568.4,21.84,5.86,69.3,0.01,1.0
Domates,2024-04-01 12:00:00,7692.36,27.19,5.62,56.88,10.01,2.34
Biber,2024-04-01 12:00:00,6593.76,24.12,6.41,56.91,0.23,1.26
Nane,2024-04-01 12:00:00,5352.81,15.93,5.91,65.59,5.7,1.28
Domates,2024-04-01 18:00:00,7823.32,24.73,5.13,62.13,10.99,1.89
Biber,2024-04-01 18:00:00,6341.06,26.33,8.65,59.23,4.78,1.24
Nane,2024-04-01 18:00:00,3540.63,19.79,3.18,77.71,6.5,1.29
Domates,2024-04-02 00:00:00,6259.51,18.52,5.81,52.98,11.1,2.86
Biber,2024-04-02 00:00:00,4147.66,26.75,8.81,46.2,2.85,0.9
Nane,2024-04-02 00:00:00,4956.92,15.6,3.84,76.93,0.18,1.48
Domates,2024-04-02 06:00:00,5564.26,24.91,5.14,58.92,1.08,2.46
Biber,2024-04-02 06:00:00,4146.94,21.23,8.96,45.1,2.58,0.81
Nane,2024-04-02 06:00:00,5928.85,16.44,4.85,62.57,4.45,0.86
Domates,2024-04-02 12:00:00,6536.1,19.01,6.02,55.71,0.17,2.18
Biber,2024-04-02 12:00:00,6562.95,20.29,7.91,59.04,1.84,0.95
Nane,2024-04-02 12:00:00,4899.18,24.68,4.94,74.14,2.59,1.46
Domates,2024-04-02 18:00:00,6110.01,19.58,5.78,62.85,2.11,1.81
Biber,2024-04-02 18:00:00,5780.14,27.7,6.25,40.84,2.66,1.24
Nane,2024-04-02 18:00:00,4069.55,16.77,3.08,71.37,2.57,0.85
Domates,2024-04-03 00:00:00,5297.54,23.75,6.34,69.85,10.23,2.08
Biber,2024-04-03 00:00:00,5713.27,27.7,6.43,54.49,9.5,1.82
Nane,2024-04-03 00:00:00,4622.96,22.08,4.25,61.32,4.7,0.73
Domates,2024-04-03 06:00:00,7245.08,18.44,7.65,61.29,0.22,2.85
Biber,2024-04-03 06:00:00,5222.57,27.08,8.65,45.18,7.11,1.47
Nane,2024-04-03 06:00:00,4113.13,21.5,3.02,78.1,7.82,0.83
Domates,2024-04-03 12:00:00,5615.56,27.6,6.76,61.13,1.66,1.52
Biber,2024-04-03 12:00:00,6475.14,22.45,8.5,59.19,0.69,1.13
Nane,2024-04-03 12:00:00,5536.1,23.74,4.01,79.19,5.19,1.12
Domates,2024-04-03 18:00:00,6598.18,23.9,7.2,56.54,13.72,1.78
Biber,2024-04-03 18:00:00,4775.43,26.21,6.65,43.9,2.67,2.06
Nane,2024-04-03 18:00:00,3187.6,22.28,5.07,72.05,1.41,1.28
Domates,2024-04-04 00:00:00,6353.72,20.82,7.62,61.9,11.46,1.96
Biber,2024-04-04 00:00:00,6893.69,23.43,8.58,51.54,3.21,1.48
Nane,2024-04-04 00:00:00,4413.69,21.38,4.55,68.04,2.68,0.71
Domates,2024-04-04 06:00:00,6929.13,18.15,5.3,62.59,3.17,2.2
Biber,2024-04-04 06:00:00,5091.99,25.8,8.17,56.41,1.68,1.33
Nane,2024-04-04 06:00:00,4213.37,23.71,5.4,76.59,6.52,1.13
Domates,2024-04-04 12:00:00,7198.92,18.39,7.49,67.76,5.6,1.72
Biber,2024-04-04 12:00:00,5102.91,24.54,7.98,42.92,4.85,1.66
Nane,2024-04-04 12:00:00,5757.89,21.68,5.09,76.49,3.09,1.04
Domates,2024-04-04 18:00:00,6396.51,21.58,6.85,67.42,2.33,1.92
Biber,2024-04-04 18:00:00,4883.23,27.68,7.03,51.55,4.66,1.54
Nane,2024-04-04 18:00:00,3825.04,17.08,4.51,61.71,7.01,1.22
Domates,2024-04-05 00:00:00,6574.35,23.41,6.24,66.76,2.28,1.5
Biber,2024-04-05 00:00:00,4776.65,28.64,8.53,58.34,6.63,1.33
Nane,2024-04-05 00:00:00,3092.5,21.62,4.95,65.82,7.72,0.84
Domates,2024-04-05 06:00:00,7543.57,19.63,6.07,55.69,11.99,2.33
Biber,2024-04-05 06:00:00,5178.79,21.1,6.02,56.89,7.68,1.26
Nane,2024-04-05 06:00:00,4848.0,16.19,3.3,73.11,3.46,0.54
Domates,2024-04-05 12:00:00,5796.78,25.07,5.77,57.14,0.08,1.72
Biber,2024-04-05 12:00:00,5406.69,22.79,8.28,52.34,8.29,2.33
Nane,2024-04-05 12:00:00,3991.84,16.99,4.1,79.15,6.71,0.58
Domates,2024-04-05 18:00:00,6677.3,27.45,5.3,55.85,8.51,1.46
Biber,2024-04-05 18:00:00,5811.41,21.02,8.02,47.66,8.27,1.21
Nane,2024-04-05 18:00:00,4552.69,16.68,4.81,69.69,1.41,0.9
Domates,2024-04-06 00:00:00,5478.4,26.65,5.81,56.22,0.25,1.04
Biber,2024-04-06 00:00:00,5779.41,25.74,6.84,52.89,7.79,2.2
Nane,2024-04-06 00:00:00,3779.55,18.01,3.65,72.97,1.73,1.23
Domates,2024-04-06 06:00:00,5312.45,25.49,7.31,50.45,6.36,1.11
Biber,2024-04-06 06:00:00,6107.31,25.22,6.8,49.56,2.78,0.91
Nane,2024-04-06 06:00:00,4921.08,16.17,5.47,70.22,3.57,0.94
Domates,2024-04-06 12:00:00,5695.82,25.6,6.31,50.95,10.27,1.17
Biber,2024-04-06 12:00:00,6789.17,22.59,8.17,41.98,4.27,1.67
Nane,2024-04-06 12:00:00,3004.84,19.2,5.56,62.89,0.08,1.3
Domates,2024-04-06 18:00:00,5372.35,18.97,7.83,67.89,12.47,1.63
Biber,2024-04-06 18:00:00,5885.39,28.78,6.08,54.0,6.6,1.83
Nane,2024-04-06 18:00:00,3487.0,15.03,3.34,66.19,6.6,1.25
Domates,2024-04-07 00:00:00,6590.79,23.45,7.84,69.8,6.08,1.87
Biber,2024-04-07 00:00:00,5126.61,21.08,6.2,54.95,6.27,2.18
Nane,2024-04-07 00:00:00,4935.7,16.88,3.87,71.78,6.5,1.48
Domates,2024-04-07 06:00:00,7704.78,22.27,5.35,58.39,10.83,1.22
Biber,2024-04-07 06:00:00,4194.01,24.46,8.82,41.63,4.5,1.71
Nane,2024-04-07 06:00:00,4289.86,23.92,5.4,75.65,1.04,1.36
Domates,2024-04-07 12:00:00,7715.48,18.21,7.42,67.45,12.42,1.04
Biber,2024-04-07 12:00:00,6708.16,22.23,6.91,50.7,7.29,1.14
Nane,2024-04-07 12:00:00,5345.43,17.08,5.07,77.88,3.48,0.69
Domates,2024-04-07 18:00:00,5781.43,24.21,7.64,66.88,6.44,2.58
Biber,2024-04-07 18:00:00,5254.12,27.21,7.56,44.6,6.46,1.3
Nane,2024-04-07 18:00:00,4722.61,16.83,5.77,71.22,5.97,0.72
Domates,2024-04-08 00:00:00,6386.3,27.82,6.71,57.79,10.88,1.42
Biber,2024-04-08 00:00:00,6046.44,28.07,7.28,53.93,8.72,2.27
Nane,2024-04-08 00:00:00,4775.9,21.31,4.49,68.14,4.47,1.18
Domates,2024-04-08 06:00:00,7095.48,21.35,6.61,66.31,6.46,1.93
Biber,2024-04-08 06:00:00,5674.32,20.84,6.89,52.38,6.91,1.02
Nane,2024-04-08 06:00:00,4290.11,23.55,3.92,73.28,0.91,1.13
Domates,2024-04-08 12:00:00,7399.65,20.41,6.98,55.38,12.36,1.3
Biber,2024-04-08 12:00:00,4900.47,23.78,6.76,55.69,9.56,2.01
Nane,2024-04-08 12:00:00,3562.48,20.6,3.72,67.87,6.07,1.27
Domates,2024-04-08 18:00:00,6615.79,27.92,5.67,65.37,1.8,2.11
Biber,2024-04-08 18:00:00,5489.52,23.08,6.61,58.49,5.79,1.12
Nane,2024-04-08 18:00:00,5527.0,22.19,4.74,69.67,2.35,0.63
Domates,2024-04-09 00:00:00,6109.93,25.76,7.41,68.35,5.06,2.3
Biber,2024-04-09 00:00:00,4928.27,26.96,8.19,46.25,0.52,2.47
Nane,2024-04-09 00:00:00,5445.73,17.79,4.88,71.76,2.0,0.59
Domates,2024-04-09 06:00:00,7687.15,21.92,7.78,57.27,14.23,2.07
Biber,2024-04-09 06:00:00,4043.61,21.95,8.62,44.26,5.07,0.91
Nane,2024-04-09 06:00:00,5195.1,19.41,4.38,61.47,6.14,1.34
Domates,2024-04-09 12:00:00,6720.0,26.77,5.4,68.96,14.37,2.59
Biber,2024-04-09 12:00:00,6322.32,22.56,7.88,44.14,9.66,1.3
Nane,2024-04-09 12:00:00,5636.71,24.13,4.27,64.94,7.12,0.63
Domates,2024-04-09 18:00:00,7739.26,27.72,6.35,58.68,3.7,2.26
Biber,2024-04-09 18:00:00,4634.62,28.29,7.65,52.05,2.17,1.14
Nane,2024-04-09 18:00:00,3774.85,22.36,3.43,65.49,5.86,0.57
Domates,2024-04-10 00:00:00,6382.23,22.95,5.24,57.77,0.91,2.02
Biber,2024-04-10 00:00:00,4107.85,22.59,6.5,44.86,7.47,2.05
Nane,2024-04-10 00:00:00,3352.26,16.67,4.97,73.46,2.29,1.4
Domates,2024-04-10 06:00:00,6696.79,23.15,5.38,65.37,10.09,2.9
Biber,2024-04-10 06:00:00,4892.13,20.98,8.12,57.48,0.34,2.07
Nane,2024-04-10 06:00:00,3828.35,16.58,4.2,66.1,2.56,0.66
Domates,2024-04-10 12:00:00,7733.72,21.56,5.53,61.69,3.17,1.42
Biber,2024-04-10 12:00:00,4686.18,23.16,8.19,55.49,8.74,1.52
Nane,2024-04-10 12:00:00,5540.85,20.15,4.57,71.73,2.65,1.22
Domates,2024-04-10 18:00:00,6636.75,23.62,7.4,62.09,7.75,2.21
Biber,2024-04-10 18:00:00,6510.52,26.26,8.04,45.09,5.88,1.01
Nane,2024-04-10 18:00:00,4264.22,18.39,3.89,61.59,4.13,1.36
Domates,2024-04-11 00:00:00,6191.98,18.18,6.42,69.53,14.23,2.43
Biber,2024-04-11 00:00:00,4146.79,25.58,6.41,51.22,2.1,2.09
Nane,2024-04-11 00:00:00,4660.63,19.98,5.77,71.72,7.15,1.26
Domates,2024-04-11 06:00:00,6738.58,18.33,6.92,64.74,13.79,1.94
Biber,2024-04-11 06:00:00,6615.87,25.07,7.02,40.61,4.21,1.14
Nane,2024-04-11 06:00:00,4612.82,19.14,5.25,71.97,3.74,0.64
Domates,2024-04-11 12:00:00,6412.11,23.78,6.23,62.92,3.17,1.11
Biber,2024-04-11 12:00:00,6443.15,25.0,7.7,55.82,2.54,0.94
Nane,2024-04-11 12:00:00,5148.18,17.88,4.15,78.86,3.31,0.89
Domates,2024-04-11 18:00:00,6411.62,22.56,5.27,54.12,9.23,2.98
Biber,2024-04-11 18:00:00,4861.88,28.11,8.5,51.24,3.38,1.85
Nane,2024-04-11 18:00:00,4374.65,20.09,5.71,70.76,0.13,0.67
Domates,2024-04-12 00:00:00,5593.35,25.68,6.57,57.93,3.86,2.13
Biber,2024-04-12 00:00:00,5197.19,24.55,6.8,56.54,1.46,1.6
Nane,2024-04-12 00:00:00,4534.84,20.38,3.28,62.16,2.57,1.28
Domates,2024-04-12 06:00:00,5558.65,24.72,6.4,69.42,13.41,2.0
Biber,2024-04-12 06:00:00,4627.85,22.19,8.17,41.76,1.95,1.85
Nane,2024-04-12 06:00:00,5604.38,15.9,4.44,76.28,7.82,0.8
Domates,2024-04-12 12:00:00,7143.17,24.86,5.84,50.58,1.26,2.31
Biber,2024-04-12 12:00:00,4484.76,24.25,7.0,57.7,3.41,1.78
Nane,2024-04-12 12:00:00,5725.55,17.54,4.37,60.08,7.95,1.06
Domates,2024-04-12 18:00:00,5809.95,21.38,6.87,68.25,10.38,1.51
Biber,2024-04-12 18:00:00,4071.39,26.69,8.59,54.64,2.8,1.15
Nane,2024-04-12 18:00:00,4583.26,24.91,5.69,60.43,7.01,1.23
Domates,2024-04-13 00:00:00,5052.73,18.5,6.16,53.06,2.04,1.5
Biber,2024-04-13 00:00:00,5237.84,20.14,6.29,48.55,1.29,2.18
Nane,2024-04-13 00:00:00,3786.02,17.25,5.38,73.04,7.51,1.16
Domates,2024-04-13 06:00:00,5573.25,25.09,5.37,59.04,14.19,1.99
Biber,2024-04-13 06:00:00,5545.99,22.12,7.82,53.89,2.95,2.24
Nane,2024-04-13 06:00:00,5194.29,21.83,3.55,64.4,4.86,1.01
Domates,2024-04-13 12:00:00,6011.12,19.87,5.07,50.26,7.58,2.26
Biber,2024-04-13 12:00:00,6207.36,22.88,6.69,57.41,4.76,1.77
Nane,2024-04-13 12:00:00,5373.12,22.17,4.48,62.69,6.83,1.42
Domates,2024-04-13 18:00:00,7259.7,25.33,6.59,56.92,7.72,2.26
Biber,2024-04-13 18:00:00,4209.58,28.1,8.64,51.83,4.16,1.9
Nane,2024-04-13 18:00:00,5575.16,22.03,5.96,77.92,7.52,1.15
Domates,2024-04-14 00:00:00,5377.5,24.13,5.19,61.24,8.21,1.43
Biber,2024-04-14 00:00:00,4730.03,24.19,7.24,42.92,5.76,2.22
Nane,2024-04-14 00:00:00,3543.08,21.26,4.02,72.76,1.42,0.63
Domates,2024-04-14 06:00:00,5798.1,24.81,7.39,54.29,11.53,1.23
Biber,2024-04-14 06:00:00,6626.11,28.35,8.43,54.27,3.88,2.46
Nane,2024-04-14 06:00:00,3632.89,24.42,4.76,77.04,7.28,0.57
Domates,2024-04-14 12:00:00,5478.81,25.39,7.72,56.57,7.5,2.44
Biber,2024-04-14 12:00:00,4092.8,28.86,7.43,46.15,1.6,0.91
Nane,2024-04-14 12:00:00,4880.94,23.44,3.16,60.96,4.62,0.59
Domates,2024-04-14 18:00:00,7988.59,23.57,7.92,61.91,2.42,2.89
Biber,2024-04-14 18:00:00,5376.98,25.4,6.84,42.88,2.44,0.97
Nane,2024-04-14 18:00:00,4937.85,17.57,5.89,76.35,4.98,1.24
Domates,2024-04-15 00:00:00,7311.08,19.01,6.89,69.54,1.86,1.2
Biber,2024-04-15 00:00:00,5335.11,24.72,6.56,51.21,7.89,1.45
Nane,2024-04-15 00:00:00,4334.13,16.75,3.14,65.23,5.48,0.86
Domates,2024-04-15 06:00:00,6127.2,27.71,6.76,59.94,13.15,2.37
Biber,2024-04-15 06:00:00,6254.82,22.45,7.34,40.42,2.15,2.04
Nane,2024-04-15 06:00:00,3326.55,16.44,3.33,73.03,3.85,0.63
Domates,2024-04-15 12:00:00,5225.64,26.68,5.16,60.57,11.02,2.79
Biber,2024-04-15 12:00:00,5827.45,29.11,7.67,50.64,9.09,2.07
Nane,2024-04-15 12:00:00,5913.4,21.77,5.28,70.4,0.79,1.43
Domates,2024-04-15 18:00:00,7967.12,27.54,6.84,57.53,2.15,1.67
Biber,2024-04-15 18:00:00,4642.99,21.83,8.79,41.5,5.95,1.54
Nane,2024-04-15 18:00:00,3579.39,22.11,3.43,74.59,3.73,1.47
Domates,2024-04-16 00:00:00,7240.85,20.61,6.59,60.83,13.06,2.59
Biber,2024-04-16 00:00:00,5102.87,24.08,7.69,45.06,2.85,1.5
Nane,2024-04-16 00:00:00,5175.15,18.38,3.93,76.9,6.8,0.64
Domates,2024-04-16 06:00:00,6654.19,27.52,7.24,67.61,14.31,1.4
Biber,2024-04-16 06:00:00,6806.83,24.66,8.18,41.34,3.58,1.22
Nane,2024-04-16 06:00:00,5150.11,21.8,5.02,79.84,7.82,1.25
Domates,2024-04-16 12:00:00,6265.45,18.11,7.3,56.92,10.97,2.84
Biber,2024-04-16 12:00:00,6898.25,23.68,6.76,45.52,5.4,1.46
Nane,2024-04-16 12:00:00,5809.03,19.72,4.56,76.57,1.26,1.1
Domates,2024-04-16 18:00:00,7498.64,25.86,7.23,68.35,14.86,1.13
Biber,2024-04-16 18:00:00,4698.18,20.8,7.63,55.09,2.55,2.03
Nane,2024-04-16 18:00:00,5222.09,20.46,4.48,61.35,0.73,1.04
Domates,2024-04-17 00:00:00,5404.28,20.95,6.28,62.91,9.84,1.34
Biber,2024-04-17 00:00:00,4589.94,25.72,7.33,44.43,9.6,2.0
Nane,2024-04-17 00:00:00,3594.95,20.88,5.16,77.54,2.3,1.46
Domates,2024-04-17 06:00:00,6012.93,19.68,6.48,62.55,4.72,2.37
Biber,2024-04-17 06:00:00,6717.71,24.99,6.68,51.86,4.74,0.89
Nane,2024-04-17 06:00:00,4958.85,17.76,4.79,73.47,7.91,0.8
Domates,2024-04-17 12:00:00,5841.25,23.64,5.75,61.43,3.19,1.94
Biber,2024-04-17 12:00:00,6087.3,23.93,6.06,40.8,9.99,2.49
Nane,2024-04-17 12:00:00,3604.21,17.81,5.9,70.39,7.94,1.49
Domates,2024-04-17 18:00:00,5704.33,18.98,7.15,53.4,12.92,1.22
Biber,2024-04-17 18:00:00,4584.29,22.22,8.05,46.57,1.65,1.86
Nane,2024-04-17 18:00:00,5868.8,22.19,6.0,75.6,6.22,0.74
Domates,2024-04-18 00:00:00,5570.66,21.87,7.0,51.48,0.63,2.26
Biber,2024-04-18 00:00:00,6169.46,21.74,6.14,57.43,2.94,1.14
Nane,2024-04-18 00:00:00,3110.23,15.63,5.51,65.52,1.62,1.09
Domates,2024-04-18 06:00:00,6512.47,20.31,6.01,65.75,9.15,1.61
Biber,2024-04-18 06:00:00,5933.68,21.96,8.17,44.95,2.6,1.84
Nane,2024-04-18 06:00:00,5523.84,23.45,4.23,75.93,7.38,1.12
Domates,2024-04-18 12:00:00,5396.35,18.07,5.98,61.6,8.5,1.29
Biber,2024-04-18 12:00:00,6519.28,26.94,6.46,52.72,8.0,0.81
Nane,2024-04-18 12:00:00,5515.42,24.43,4.13,61.47,6.06,0.81
Domates,2024-04-18 18:00:00,6426.17,23.55,6.95,60.15,12.85,1.14
Biber,2024-04-18 18:00:00,4828.25,20.54,6.59,55.12,2.63,1.67
Nane,2024-04-18 18:00:00,4893.39,23.19,5.55,78.4,0.02,0.78
Domates,2024-04-19 00:00:00,7053.45,19.09,7.16,68.76,0.49,1.66
Biber,2024-04-19 00:00:00,5646.31,20.67,7.25,58.37,4.14,2.17
Nane,2024-04-19 00:00:00,4455.82,16.68,5.88,74.96,5.05,1.21
Domates,2024-04-19 06:00:00,7988.88,26.04,6.25,61.25,0.08,1.08
Biber,2024-04-19 06:00:00,5362.12,22.61,6.87,51.17,4.14,1.22
Nane,2024-04-19 06:00:00,5380.74,23.39,3.05,62.71,2.11,1.03
Domates,2024-04-19 12:00:00,5712.46,20.43,7.65,55.71,14.1,2.44
Biber,2024-04-19 12:00:00,4296.93,28.6,8.51,51.5,9.19,1.08
Nane,2024-04-19 12:00:00,5763.97,17.92,5.57,79.19,2.27,0.82
Domates,2024-04-19 18:00:00,6701.55,20.38,7.7,56.42,13.16,1.26
Biber,2024-04-19 18:00:00,6028.27,20.07,6.86,45.27,0.41,2.3
Nane,2024-04-19 18:00:00,5391.76,19.79,3.86,69.07,7.48,0.51
Domates,2024-04-20 00:00:00,6442.44,18.69,6.67,61.8,9.83,2.24
Biber,2024-04-20 00:00:00,4594.48,26.06,6.18,53.48,5.67,2.18
Nane,2024-04-20 00:00:00,4674.68,24.5,3.77,73.23,2.15,1.42
Domates,2024-04-20 06:00:00,7787.74,24.54,5.26,60.68,3.44,1.04
Biber,2024-04-20 06:00:00,4284.73,27.85,8.34,51.2,5.54,2.09
Nane,2024-04-20 06:00:00,5916.76,17.74,3.13,66.75,0.79,0.77
Domates,2024-04-20 12:00:00,7726.46,23.17,6.1,57.65,2.23,2.11
Biber,2024-04-20 12:00:00,4475.6,23.66,8.57,55.69,1.7,1.39
Nane,2024-04-20 12:00:00,5141.5,22.58,3.15,61.52,4.76,1.39
Domates,2024-04-20 18:00:00,6367.21,26.41,6.46,51.39,8.97,1.04
Biber,2024-04-20 18:00:00,4333.92,29.48,7.86,40.98,1.6,1.03
Nane,2024-04-20 18:00:00,3856.09,17.11,5.21,61.53,7.71,0.61
Domates,2024-04-21 00:00:00,7362.52,25.18,6.82,57.22,10.93,2.93
Biber,2024-04-21 00:00:00,5869.68,29.53,7.73,56.86,6.7,1.21
Nane,2024-04-21 00:00:00,5635.49,15.82,4.56,64.51,6.92,0.84
Domates,2024-04-21 06:00:00,6568.34,22.34,6.43,53.11,3.74,1.15
Biber,2024-04-21 06:00:00,6269.94,26.44,7.86,47.09,9.66,2.13
Nane,2024-04-21 06:00:00,3627.3,20.34,5.33,69.87,5.17,0.65
Domates,2024-04-21 12:00:00,5976.38,27.17,6.34,63.85,0.17,1.81
Biber,2024-04-21 12:00:00,5556.91,28.4,8.85,53.85,5.27,1.64
Nane,2024-04-21 12:00:00,5374.06,21.14,4.81,73.55,3.01,0.91
Domates,2024-04-21 18:00:00,6890.56,19.75,5.04,55.43,13.48,1.37
Biber,2024-04-21 18:00:00,5478.53,23.9,6.95,55.77,3.24,1.26
Nane,2024-04-21 18:00:00,3861.84,18.03,4.0,66.16,2.3,0.53
Domates,2024-04-22 00:00:00,6475.3,20.73,6.06,56.28,0.64,1.36
Biber,2024-04-22 00:00:00,6313.45,29.05,7.32,47.66,9.52,1.56
Nane,2024-04-22 00:00:00,4597.53,20.12,5.8,76.33,5.92,0.77
Domates,2024-04-22 06:00:00,7686.77,26.95,7.72,69.5,6.16,1.59
Biber,2024-04-22 06:00:00,4408.51,24.91,7.52,50.7,4.98,1.22
Nane,2024-04-22 06:00:00,5284.19,15.36,5.47,63.0,7.65,0.53
Domates,2024-04-22 12:00:00,7689.96,25.66,5.08,50.24,1.89,2.76
Biber,2024-04-22 12:00:00,5324.25,23.07,8.75,44.23,7.28,1.15
Nane,2024-04-22 12:00:00,4805.8,15.03,3.88,78.5,4.4,0.6
Domates,2024-04-22 18:00:00,6595.74,22.16,5.83,53.51,0.42,2.73
Biber,2024-04-22 18:00:00,5006.86,26.75,6.81,46.51,9.57,1.91
Nane,2024-04-22 18:00:00,4830.04,23.56,4.83,64.37,1.29,0.52
Domates,2024-04-23 00:00:00,5250.78,23.08,6.22,51.57,12.11,1.73
